netName,util,cp,bboxArea,bboxAr,numPins,numVias
{text_in[56]},60,1600,0.000,0.000,2,0
{text_in[55]},60,1600,0.000,0.000,2,0
{text_in[54]},60,1600,0.000,0.000,2,0
{text_in[53]},60,1600,0.000,0.000,2,0
{text_in[52]},60,1600,0.000,0.000,2,0
{text_in[51]},60,1600,0.000,0.000,2,0
{text_in[50]},60,1600,0.000,0.000,2,0
{text_in[49]},60,1600,0.000,0.000,2,0
{text_in[48]},60,1600,0.000,0.000,2,0
{text_in[47]},60,1600,0.000,0.000,2,0
{text_in[46]},60,1600,0.000,0.000,2,0
{text_in[45]},60,1600,0.000,0.000,2,0
{text_in[44]},60,1600,0.000,0.000,2,0
{text_in[43]},60,1600,0.000,0.000,2,0
{text_in[42]},60,1600,0.000,0.000,2,0
{text_in[41]},60,1600,0.000,0.000,2,0
{text_in[40]},60,1600,0.000,0.000,2,0
{text_in[39]},60,1600,0.000,0.000,2,0
{text_in[38]},60,1600,0.000,0.000,2,0
{text_in[37]},60,1600,0.000,0.000,2,0
{text_in[36]},60,1600,0.000,0.000,2,0
{text_in[35]},60,1600,0.000,0.000,2,0
{text_in[34]},60,1600,0.000,0.000,2,0
{text_in[33]},60,1600,0.000,0.000,2,0
{text_in[32]},60,1600,0.000,0.000,2,0
{text_in[31]},60,1600,0.000,0.000,2,0
{text_in[30]},60,1600,0.000,0.000,2,0
{text_in[29]},60,1600,0.000,0.000,2,0
{text_in[28]},60,1600,0.000,0.000,2,0
{text_in[27]},60,1600,0.000,0.000,2,0
{text_in[26]},60,1600,0.000,0.000,2,0
{text_in[25]},60,1600,0.000,0.000,2,0
{text_in[24]},60,1600,0.000,0.000,2,0
{text_in[23]},60,1600,0.000,0.000,2,0
{text_in[22]},60,1600,0.000,0.000,2,0
{text_in[21]},60,1600,0.000,0.000,2,0
{text_in[20]},60,1600,0.000,0.000,2,0
{text_in[19]},60,1600,0.000,0.000,2,0
{text_in[18]},60,1600,0.000,0.000,2,0
{text_in[17]},60,1600,0.000,0.000,2,0
{text_in[16]},60,1600,0.000,0.000,2,0
{text_in[15]},60,1600,0.000,0.000,2,0
{text_in[14]},60,1600,0.000,0.000,2,0
{text_in[13]},60,1600,0.000,0.000,2,0
{text_in[12]},60,1600,0.000,0.000,2,0
{text_in[11]},60,1600,0.000,0.000,2,0
{text_in[10]},60,1600,0.000,0.000,2,0
{text_in[9]},60,1600,0.000,0.000,2,0
{text_in[8]},60,1600,0.000,0.000,2,0
{text_in[7]},60,1600,0.000,0.000,2,0
{text_in[6]},60,1600,0.000,0.000,2,0
{text_in[5]},60,1600,0.000,0.000,2,0
{text_in[4]},60,1600,0.000,0.000,2,0
{text_in[3]},60,1600,0.000,0.000,2,0
{text_in[2]},60,1600,0.000,0.000,2,0
{text_in[1]},60,1600,0.000,0.000,2,0
{text_in[0]},60,1600,0.000,0.000,2,0
{text_out[127]},60,1600,0.000,0.000,2,0
{text_out[126]},60,1600,0.000,0.000,2,0
{text_out[125]},60,1600,0.000,0.000,2,0
{text_out[124]},60,1600,0.000,0.000,2,0
{text_out[123]},60,1600,0.000,0.000,2,0
{text_out[122]},60,1600,0.000,0.000,2,0
{text_out[121]},60,1600,0.000,0.000,2,0
{text_out[120]},60,1600,0.000,0.000,2,0
{text_out[119]},60,1600,0.000,0.000,2,0
{text_out[118]},60,1600,0.000,0.000,2,0
{text_out[117]},60,1600,0.000,0.000,2,0
{text_out[116]},60,1600,0.000,0.000,2,0
{text_out[115]},60,1600,0.000,0.000,2,0
{text_out[114]},60,1600,0.000,0.000,2,0
{text_out[113]},60,1600,0.000,0.000,2,0
{text_out[112]},60,1600,0.000,0.000,2,0
{text_out[111]},60,1600,0.000,0.000,2,0
{text_out[110]},60,1600,0.000,0.000,2,0
{text_out[109]},60,1600,0.000,0.000,2,0
{text_out[108]},60,1600,0.000,0.000,2,0
{text_out[107]},60,1600,0.000,0.000,2,0
{text_out[106]},60,1600,0.000,0.000,2,0
{text_out[105]},60,1600,0.000,0.000,2,0
{text_out[104]},60,1600,0.000,0.000,2,0
{text_out[103]},60,1600,0.000,0.000,2,0
{text_out[102]},60,1600,0.000,0.000,2,0
{text_out[101]},60,1600,0.000,0.000,2,0
{text_out[100]},60,1600,0.000,0.000,2,0
